OBJECTID,FIELD_LOCATION,FIELD_LATITUDE,FIELD_LONGITUDE,FIELD_AGENCY_FIRE_ID,FIELD_FIRE_SIZE,FIELD_AGENCY_FIRE_CAUSE,FIELD_SYSTEM_FIRE_CAUSE,FIELD_SITUATION_REPORT_DATE,FIELD_STATUS_DATE,FIELD_AGENCY_DATA_TIMEZONE,FIELD_STAGE_OF_CONTROL_STATUS,FIELD_PERCENT_CONTAINED,FIELD_RESPONSE_TYPE,FIELD_SEVERITY_NEAREST_DSR,FIELD_FIRE_WAS_PERSCRIBED,FIELD_AGENCY_PREPARE_LEVEL,FIELD_FIRE_TYPE_ICS,FIELD_AGENCY_CODE,REFRESHED_DATETIME,geometry_longitude,geometry_latitude,source_feature_id,geometry_type,snapshot_downloaded_at_utc,source_url,fire_id,agency_code,stage_of_control_code,stage_of_control_label,stage_of_control_label_provisional,stage_of_control_mapping_status,stage_of_control_display_label,is_active_fire,agency_fire_cause_code,system_fire_cause_code,response_type_code,response_type_label,fire_size_hectares,latitude,longitude,situation_report_datetime_utc,status_datetime_utc,refreshed_datetime_utc,cause_interpretation_provisional,cause_mapping_status,FIELD_LOCATION_is_minus_one,FIELD_PERCENT_CONTAINED_is_minus_one,FIELD_SEVERITY_NEAREST_DSR_is_minus_one,FIELD_AGENCY_PREPARE_LEVEL_is_minus_one,FIELD_FIRE_TYPE_ICS_is_minus_one
338266593,-1,50.0232,-94.796,KEN_FIRE_027,2.0,LTG,L,1785449040000,1785449040000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-94.79600903656976,50.023208544501664,338266593,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,KEN_FIRE_027,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,2.0,50.0232,-94.796,2026-07-30 22:04:00+00:00,2026-07-30 22:04:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266609,-1,47.0529,-80.6864,SUD_FIRE_043,0.3,LTG,L,1785448380000,1785448380000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-80.68640414477788,47.05290908578909,338266609,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_043,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,0.3,47.0529,-80.6864,2026-07-30 21:53:00+00:00,2026-07-30 21:53:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266625,-1,50.604800000000004,-94.2711,RED_FIRE_026,0.2,LTG,L,1785443340000,1785452400000,GMT,BH,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-94.2711089964561,50.60480865645095,338266625,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,RED_FIRE_026,ON,BH,Being Held,,Confirmed,Being Held,True,LTG,L,FUL,Full Response,0.2,50.604800000000004,-94.2711,2026-07-30 20:29:00+00:00,2026-07-30 23:00:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266641,-1,47.0382,-82.0794,SUD_FIRE_042,0.3,LTG,L,1785442440000,1785442440000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-82.07940459743143,47.03820900823734,338266641,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_042,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,0.3,47.0382,-82.0794,2026-07-30 20:14:00+00:00,2026-07-30 20:14:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266657,-1,47.034,-82.30760000000001,SUD_FIRE_041,0.2,LTG,L,1785442140000,1785442140000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-82.3076046709232,47.034008994931796,338266657,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_041,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,0.2,47.034,-82.30760000000001,2026-07-30 20:09:00+00:00,2026-07-30 20:09:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266673,-1,47.0685,-80.78880000000001,SUD_FIRE_040,1.5,LTG,L,1785438000000,1785451680000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-80.78880418010205,47.06850908281796,338266673,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_040,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,1.5,47.0685,-80.78880000000001,2026-07-30 19:00:00+00:00,2026-07-30 22:48:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266689,-1,46.824200000000005,-82.3403,SUD_FIRE_039,0.2,LTG,L,1785435360000,1785447900000,GMT,OC,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-82.34030465667286,46.82420896052725,338266689,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_039,ON,OC,Out of Control,,Confirmed,Out of Control,True,LTG,L,FUL,Full Response,0.2,46.824200000000005,-82.3403,2026-07-30 18:16:00+00:00,2026-07-30 21:45:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266705,-1,47.0007,-80.7445,SUD_FIRE_038,0.4,LTG,L,1785370500000,1785438000000,GMT,BH,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-80.74450415791708,47.00070907452853,338266705,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_038,ON,BH,Being Held,,Confirmed,Being Held,True,LTG,L,FUL,Full Response,0.4,47.0007,-80.7445,2026-07-30 00:15:00+00:00,2026-07-30 19:00:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266721,-1,46.7967,-82.3625,SUD_FIRE_037,0.3,LTG,L,1785363120000,1785447000000,GMT,BH,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-82.3625046606102,46.79670895500974,338266721,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SUD_FIRE_037,ON,BH,Being Held,,Confirmed,Being Held,True,LTG,L,FUL,Full Response,0.3,46.7967,-82.3625,2026-07-29 22:12:00+00:00,2026-07-30 21:30:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338266769,-1,51.9745,-81.5728,COC_FIRE_048,25.0,LTG,L,1785357420000,1785357480000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-81.57280510525034,51.97450974215174,338266769,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,COC_FIRE_048,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,25.0,51.9745,-81.5728,2026-07-29 20:37:00+00:00,2026-07-29 20:38:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
