field_name,code_value,record_count
FIELD_STAGE_OF_CONTROL_STATUS,EX,481
FIELD_STAGE_OF_CONTROL_STATUS,BM,115
FIELD_STAGE_OF_CONTROL_STATUS,OC,29
FIELD_STAGE_OF_CONTROL_STATUS,BH,10
FIELD_STAGE_OF_CONTROL_STATUS,UC,6
FIELD_AGENCY_FIRE_CAUSE,LTG,421
FIELD_AGENCY_FIRE_CAUSE,HUM,220
FIELD_SYSTEM_FIRE_CAUSE,L,421
FIELD_SYSTEM_FIRE_CAUSE,H,220
FIELD_RESPONSE_TYPE,FUL,496
FIELD_RESPONSE_TYPE,MON,111
FIELD_RESPONSE_TYPE,MNP,16
FIELD_RESPONSE_TYPE,MOD,15
FIELD_RESPONSE_TYPE,MDP,2
FIELD_RESPONSE_TYPE,-1,1
FIELD_AGENCY_CODE,ON,641
